gene,mode_06,mode_07,mode_08,mode_09,mode_10
NPM1,0.1467376510145891,0.0017291887255869594,-0.027523169787756933,-0.040842344641098885,0.2838075310441398
WAPL,0.050213238779670155,-0.04090485669898786,0.11324353842214573,-0.004419965895342669,0.020628549707521246
SMC1B,0.07501669512285696,-0.03551286963852382,0.04533605647846394,0.062471772752630675,0.014871810575068718
CDCA5,0.039501521203465007,-0.08970079232106963,0.0877099822373694,-0.04344520197312377,0.03319479488107926
SGO1,-0.03912597685114321,-0.022948934481317376,0.09605379188768516,-0.08556336835574925,-0.001273964113349538
REC8,0.06848822338305342,0.07675411440163452,-0.007030426550076387,0.33141186650964277,0.07003165328276374
MXD4,-0.050657122062968615,0.11552340633227724,-0.010862857405739522,-0.02012172633551699,0.03787278571466829
STAG3,0.020884393900732424,-0.093504635792565,-0.1699420040271402,-0.0569528398429313,-0.026373329804616066
NIPBL,0.026470356804860398,2.696232162866611e-05,0.1781760624243135,-0.03740209562338388,-0.05940812988914849
SPI1,-0.02289902107038974,-0.27473933629727726,0.12810642908243616,-0.03955394074434103,-0.12537197177331122
GPR31,0.047124548972160535,-0.013291127868096188,-0.08565069545951479,-0.18501192013075138,0.34162652403421023
STAG1,-0.07113427469519928,0.0018727047671536295,0.008581437027046016,-0.024589921664282668,0.0943433680180504
NXF2,-0.5589806973098732,0.20931611880722872,0.2191627577114437,0.06042603621423084,0.07652453126692894
CARNMT1,0.1504102819949412,-0.04530063922827599,-0.05904885004195786,0.06160014687368251,-0.05875249844862082
ELF4,0.0555744104621882,-0.08075932670108571,0.021288388993093772,0.3014946731140545,0.1000851604172777
KRTAP10-3,-0.002417218313193946,-0.044596207109737024,-0.08479503214013122,0.009359831257894902,0.022633748133467857
AIRE,-0.5194621904839377,0.12510455374773521,0.27139149171155097,0.04954389087529961,0.04688417796734869
ZNF513,0.05052226508345825,0.17054074193465638,0.0004481230538025405,-0.19932289136433692,-0.17179856835829646
SLA,-0.06729083206711425,-0.0959862820257043,-0.011565349463206292,0.06772188936162685,-0.13567568286762444
ZRSR1,0.3311114937237368,-0.08999330179788598,-0.15388237377547942,0.017470233424518016,0.26843560481773177
SRRM1,0.31946674749365833,-0.0512394802035482,-0.16591374339352352,0.024673579928400295,0.18879830893657992
ANKRD11,-0.16535975696071437,-0.19679154460752032,0.010763109742571515,-0.0004277252082060619,0.00016890742442719506
CIRSR,0.2115618354100386,-0.08907115424082174,-0.13605547690322906,0.08227839953768315,-0.11834839195096805
ZNF207,0.007895408469945069,-0.037365093037546496,-0.15873591921834732,-0.005884381902145551,-0.09151150258750962
U2AF1L4,0.27496216622001196,-0.057042988357364384,-0.1070593181128706,0.056800463406220435,-0.11517878361716315
USP37,0.1244861328055861,-0.03753665018096157,9.906872492084364e-05,0.33861437513098697,-0.0194017436976853
FMO3,-0.017864578032605452,0.003601903658341425,-0.06171483102355661,-0.14089708056837463,0.23148998116784422
ADAR,0.09812471531594429,-0.09889189474099917,0.09320274584963288,-0.009801362426292873,-0.0046268724113575545
SH2B3,-0.05907751171221894,0.037933173622646595,-0.006971406633321876,0.11474179392298757,-0.1565821402747394
SSU72,-0.0471527804675101,0.02054639266803364,-0.013212223156725893,0.09984962997933428,-0.0012756464536399284
SOCS1,0.013739854083555032,-0.02626772687841105,0.1285936637328973,0.09271136149853662,-0.24425512789602508
PAF1,0.03197430588798741,0.19467863999120438,-0.04806408055003214,-0.2226084146316813,-0.36642751510987115
USP13,0.09716851104405508,0.11149528507056793,0.06313876819811062,0.1823450406519151,0.019187767659245524
TEC,-0.008050474223286069,-0.008642413833429695,0.08542567915983107,0.10392144368603384,-0.22149935121987727
RGPD2,-0.39395436496562886,0.14925671658366182,0.21178336712058024,-0.011322080494820242,0.014106290079386522
WAPAL,0.03478442357386599,-0.10982700346670646,0.1110274252935993,0.02408223232338334,0.03870159762301203
KAT6A,0.05334678646438252,-0.0053608281500101005,-0.02182939441645565,0.0018625629662156681,0.025145253798188005
HLF,-0.011575196169018894,-0.20836338395083584,-0.03536813302157656,-0.14055894688803278,0.04343847971733181
HRK,0.24286121958929252,-0.1085079238008162,0.3193450544548658,-0.38129526500878197,-0.0016159952572685115
BNIPL,0.2259400539961478,-0.11812043828270406,0.26996333809440604,-0.32434690140398953,-0.029596633573477697
GRB10,-0.025518812016576308,0.015456188501233545,-0.00975437876712192,0.018147901278730273,-0.002552908241540043
MED1,-0.08167703983302096,-0.29142891213910144,-0.007525277643291179,-0.06361770123914655,-0.1740683362189966
NUP93,-0.5526353767320337,0.22594573778716098,0.23308086074785858,0.02849275260565644,0.03268266149331129
PDS5B,-0.045419110506493464,-0.031617890863581494,0.0126690237339359,-0.050219492465158166,0.0032461968327792486
CBL,0.01931641718199447,0.01753021167936415,0.013370887260860612,0.09216061178546656,-0.11413251623252818
OVCA2,-0.038162894990779156,0.04760859388385382,-0.007581677396748409,0.0897340682682982,-0.14709650490487097
PDS5A,0.031160825741474992,-0.057614457976769,0.1333071678635444,-0.06492124069377397,0.084768101008422
RBM15,0.12703350174733533,-0.07279567337477656,0.016508240670098862,-0.007077266868318674,0.06134630246894721
TFEC,-0.02895341875203967,-0.0580654166407937,-0.10114932295595119,-0.19229916283151038,0.19342940994178598
C19ORF43,0.14082589554700972,-0.16486602307457024,-0.12318260751829822,-0.07354838379024196,-0.25939628460466174
