case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,metric,old_value,new_value,delta,direction,metric_orientation
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,ari,0.7755102040816326,1.0,0.22448979591836737,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,nmi,0.9057460992755192,1.0,0.09425390072448081,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,ami,0.901435212637869,1.0,0.09856478736213103,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,purity,0.8,1.0,0.19999999999999996,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,homogeneity,0.8277293767706428,1.0,0.17227062322935716,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,completeness,1.0,1.0,0.0,tie,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,v_measure,0.9057460992755192,1.0,0.09425390072448081,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,fowlkes_mallows,0.8388704928078611,1.0,0.16112950719213892,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,macro_recall,0.8,1.0,0.19999999999999996,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,macro_f1,0.7333333333333333,1.0,0.2666666666666667,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,worst_cluster_recall,0.0,1.0,1.0,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,median_cluster_size,20.0,20.0,0.0,descriptive_delta,descriptive
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,largest_cluster_fraction,0.4,0.2,-0.2,descriptive_delta,descriptive
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,effective_cluster_count,3.7892914162759954,5.000000000000001,1.2107085837240055,descriptive_delta,descriptive
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,cluster_size_entropy,1.3321790402101223,1.6094379124341005,0.27725887222397816,descriptive_delta,descriptive
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,cluster_size_gini,0.15,0.0,-0.15,improved,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,silhouette_score,0.3850221302748611,0.5094345420588111,0.12441241178395002,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,davies_bouldin_index,1.1541736231222044,0.8135889510100979,-0.3405846721121065,improved,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,calinski_harabasz_index,38.79841809784563,70.87151394422311,32.073095846377484,improved,higher_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,cluster_count_abs_error,1.0,0.0,-1.0,improved,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,over_split,0.0,0.0,0.0,tie,lower_better
gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,100,80,5,4,5,under_split,1.0,0.0,-1.0,improved,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,ari,0.0,1.0,1.0,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,nmi,0.0,1.0,1.0,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,ami,0.0,1.0,1.0,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,purity,0.3333333333333333,1.0,0.6666666666666667,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,homogeneity,0.0,1.0,1.0,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,completeness,1.0,1.0,0.0,tie,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,v_measure,0.0,1.0,1.0,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,fowlkes_mallows,0.5640760748177662,1.0,0.4359239251822338,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,macro_recall,0.3333333333333333,1.0,0.6666666666666667,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,macro_f1,0.1666666666666666,1.0,0.8333333333333334,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,worst_cluster_recall,0.0,1.0,1.0,improved,higher_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,median_cluster_size,45.0,15.0,-30.0,descriptive_delta,descriptive
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,largest_cluster_fraction,1.0,0.3333333333333333,-0.6666666666666667,descriptive_delta,descriptive
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,effective_cluster_count,1.0,2.9999999999999996,1.9999999999999996,descriptive_delta,descriptive
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,cluster_size_entropy,-0.0,1.0986122886681096,1.0986122886681096,descriptive_delta,descriptive
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,cluster_size_gini,0.0,0.0,0.0,tie,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,cluster_count_abs_error,2.0,0.0,-2.0,improved,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,over_split,0.0,0.0,0.0,tie,lower_better
gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,45,30,3,1,3,under_split,1.0,0.0,-1.0,improved,lower_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,ari,0.0,1.0,1.0,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,nmi,0.0,1.0,1.0,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,ami,0.0,1.0,1.0,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,purity,0.2,1.0,0.8,improved,higher_better
gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,75,50,5,1,5,homogeneity,0.0,1.0,1.0,improved,higher_better
