gene,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
IDH1,0.12677001329751852,-0.10415841794075387,0.08547163252014436,0.11950778114615372,0.10855771701663289,-0.062430215930590685,0.1129931160001902,-0.03641214813553991,-0.008914323386487101,0.005471584332867666,0.050938589433054855,0.023916913334374196,0.0319952020682323,-0.20569071633940447,-0.013982568543801074,0.10551318767922087,0.02828111478535114,-0.03226582738095705
SF3B1,-0.0033655622884703365,0.02541135094555334,0.007450431024790698,0.03869767042584089,0.001928308836603308,-0.013377835915643593,0.050950191734839244,-0.011542238821371887,-0.016166925458068963,-0.007407014259750223,0.016903701790268042,0.03136878140588824,-0.030308253356397037,0.017502667155059163,-0.03074475303011127,-0.014235817586645655,-0.010230713612041824,0.01872470871354201
WT1,-0.010340922442939632,-0.024809111129984043,0.03251668564254728,-0.0032123390627617054,0.07469133531926679,-0.013610443077491045,0.009722876266389395,-0.013622661028677699,0.004955254874603628,0.015485051693677962,-0.009008481183294944,-0.0383214682754866,-9.705546589838269e-06,-0.04217430744775565,-0.0320221552108638,-0.007513240261710027,-0.040943701221030956,0.007231883619245157
NRAS,-0.08021183314176507,0.02167914542842907,-0.005446262708216746,0.017655901734133336,0.039808044450716014,0.026553744594904994,-0.06910157840481788,-0.010778630985119442,-0.018022996795608332,0.0031905477773086516,0.04405225160184723,-0.050262140001599495,-0.0604482102353695,-0.022203815696714504,-0.0148307288823799,0.08402212341570765,-0.02978872700323117,0.042644154531275125
KMT2A,0.05446048816681164,-0.051264061541401555,-0.03266655417916672,-0.08037485753787359,0.032517878746779985,0.01259966782782648,-0.003019177747321998,-0.019908658175995755,-0.03958826978804682,-0.057321911446886385,-0.05429657665122332,0.0385157519139913,-0.0652793055177976,0.09264489493590208,-0.05562886277974254,-0.0476883197197372,-0.08338039171775623,0.053571012142740286
BCL2,-0.022107364416305498,0.05188685643366243,0.047322714034667215,0.04577878966214219,0.04659825394689427,0.01682164431443104,0.05390028354843559,0.05340529597290973,0.014311189914263514,-0.0073640044935649445,-0.09612994377016439,0.013691727728871115,-0.032704370236680304,-0.027018927990026916,-0.03554145545370076,-0.05876256514696936,0.10752521046208523,0.06384542064732182
IDH2,0.07728291601626629,-0.06841770620215713,-0.05136616947732016,-0.07830964612002732,0.05842698903060215,0.08658179862306294,-0.08409642013626481,0.07088722652287852,0.03675220145876714,-0.008377722448769664,0.06117801455306045,-0.0036956843174393377,-0.006178497342129922,0.0077079182687288285,0.0069213730051700855,-0.04991811375939873,0.014317064776880587,0.04795870967201407
EZH2,-0.03257811646103337,-0.033372431887003555,-0.06766903499126754,-0.06188728845468424,0.06626041618798605,-0.04326618791091909,0.025207016919058862,0.0012430165236576303,0.09384839727020007,-0.0953575701554677,-0.011910709017279095,-0.09223183432716274,0.012344486683117486,-0.08020214018167504,-0.2053275652043716,0.006113301705971068,0.19033394651325702,-0.024927042961681464
ZRSR2,0.03410559613834152,0.005871685967605361,0.04044636683319395,-0.023952718943638752,0.007542727125351861,-0.04610693435160235,-0.004182733600321803,0.0633583855563297,-0.0026726272888786557,0.03203626919068795,-0.014737386142563001,0.01818227536360008,-0.0398429762444784,-0.004239503649388054,0.05047804092612676,0.02709099035836005,-0.038161996610211676,-0.0013183254295258836
RAD21,-0.03028638237256967,0.00890865580667303,0.08627919422309954,-0.005355379838118875,-0.020248723125199895,-0.01307952329458838,0.0428916984223927,-0.02833407428698062,-0.03778718948900148,-0.06481451662789296,0.054268425439304255,-0.061303080567882966,-0.07887335526129914,-0.019663560744758633,0.07018377622364051,-0.0504895161315236,0.014415387032144787,-0.0618747225823474
KRAS,0.048483797918200046,-0.023209260019685023,0.0006968296732533097,-0.024343232102637686,-0.026629987199735753,-0.033956247499850344,0.01127366074838582,0.0688071834005514,-0.015138144198321924,-0.017559938294555984,-0.04474297960717676,-0.0071016833656158,0.024750727771733896,-0.009805167277254749,-0.008586704483377661,-0.036741058000925315,-0.010471882762874205,-0.01444969990184406
DNMT3A,0.10908739930675454,-0.0924634014189789,0.13005720080885969,-0.02415529650229565,-0.01806570334590995,0.010028121112072621,-0.029470475816894385,0.01602789699633657,0.055690357132499965,0.0013765139964885325,-0.008132089917613619,-0.03196984774529562,-0.09214298665217052,-0.03979594648618876,0.01582565586088339,0.023521923560261795,0.0104654735205762,-0.027982624344400953
