diagnosis_schema_version,case_id,test_case,case_category,rooted_subtree_id,subtree_leaf_count,complement_leaf_count,smaller_side_leaf_count,smaller_side_fraction,support_count,method_count,support_fraction,is_unstable,supporting_methods,absent_methods,contrast_type,median_supporting_branch_length,min_supporting_branch_length,max_supporting_branch_length,subtree_leaf_preview,complement_leaf_preview
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,2fb0152e2bb97aaa,697,103,103,0.12875,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,2.48659336679e-07,2.48659336679e-07,2.48659336679e-07,"L1,L10,L100,L101,L102,L103,L104,L105,L107,L108,L109,L11,...(+685)","L106,L120,L126,L127,L133,L136,L138,L140,L157,L159,L167,L176,...(+91)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,e403e155301a07ef,103,697,103,0.12875,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,9.07770487007e-07,9.07770487007e-07,9.07770487007e-07,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+91)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+685)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,b8533184126aadd2,697,103,103,0.12875,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.92569500348e-05,2.92569500348e-05,2.92569500348e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+685)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L167,...(+91)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,ce1e3ab78696af15,103,697,103,0.12875,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.00281270666e-06,2.00281270666e-06,2.00281270666e-06,"L11,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,L173,...(+91)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+685)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,e3354f7462fbe83d,698,102,102,0.1275,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,1.27008985851e-07,1.27008985851e-07,1.27008985851e-07,"L1,L10,L100,L101,L102,L103,L104,L105,L107,L108,L109,L11,...(+686)","L106,L120,L126,L127,L133,L136,L138,L140,L157,L159,L167,L176,...(+90)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,25f56881ff59b747,102,698,102,0.1275,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.92044123484e-06,1.92044123484e-06,1.92044123484e-06,"L11,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,L173,...(+90)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+686)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,c7f676a2dd8e6307,102,698,102,0.1275,1,7,0.14285714285714285,True,weighted,"average,centroid,complete,median,neighbor_joining,single",single_method_specific_subtree,4.66676007605e-05,4.66676007605e-05,4.66676007605e-05,"L110,L123,L130,L131,L156,L158,L160,L171,L173,L179,L181,L195,...(+90)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+686)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,539bd7f5a2114a1a,699,101,101,0.12625,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.31492142596e-05,2.31492142596e-05,2.31492142596e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+687)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L167,...(+89)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,b11c94a30d4b0f31,101,699,101,0.12625,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.36661634147e-06,2.36661634147e-06,2.36661634147e-06,"L11,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,L173,...(+89)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+687)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,ed2bb48491679710,100,700,100,0.125,1,7,0.14285714285714285,True,average,"centroid,complete,median,neighbor_joining,single,weighted",single_method_specific_subtree,8.16042926215e-35,8.16042926215e-35,8.16042926215e-35,"L103,L110,L114,L116,L123,L130,L135,L145,L147,L153,L155,L158,...(+88)","L1,L10,L100,L101,L102,L104,L105,L106,L107,L108,L109,L11,...(+688)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,9cb47af93d45f522,100,700,100,0.125,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,1.8752330019e-07,1.8752330019e-07,1.8752330019e-07,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+88)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+688)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,c10c344edb6a4522,100,700,100,0.125,1,7,0.14285714285714285,True,neighbor_joining,"average,centroid,complete,median,single,weighted",neighbor_joining_specific_subtree,0.00149317058127,0.00149317058127,0.00149317058127,"L156,L159,L195,L201,L207,L210,L211,L213,L217,L218,L222,L233,...(+88)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+688)"
