gene,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
IDH1,0.11788814829451989,0.18094569711118264,0.05743969373083447,0.054912705752552665,-0.017623809052052634,-0.12000729875172701,0.007268521605655967,-0.13481532064573107,0.031233302999234967,-0.006303293649418824,-0.07658294012957155,0.09944542362290663,-0.03160646894371344,-0.1009054440888308,0.08135094785535966,0.0002948117130788376,-0.021657585645451283,-5.048557773126703e-05,-0.017350141223983758,0.009439260193545617,-0.04012608317456275,0.1033551336918079,0.056575053038383366,-0.030919728624969247,-0.02844525218246694,-0.0816272984084256,0.03106922587766693,-0.039652672555839326,-0.029278763569866393
SF3B1,-0.01619505865372489,-0.05137387923330302,-0.01233588415468718,-0.02251356292834184,0.04287301687708866,-0.049269869276745946,0.010252972934881421,-0.06261439915309636,-0.07875751091243713,0.06125462705215094,-0.02488554008707397,-0.027827472970305862,0.01204629871080432,0.07000441445718722,0.06547924764877,0.03421521088335677,-0.016075848445642544,-0.08506163640682293,0.014784790024608394,0.0009859877293791708,-0.0334174753806853,0.07060831249340185,0.01984923674159509,0.04006217036690723,-0.053752814777546704,0.06113357171904365,0.02552545976920504,0.05680188581132292,-0.008506134586796003
WT1,0.08313946131616928,0.12968927745048317,-0.015832232987656774,0.04644312073556777,-0.05917235325568062,-0.07437804679313258,0.04525723672507849,-0.054411556163772246,0.06779265324099244,0.004643488926696256,0.05337724529874725,0.04937663787772884,0.040121372582534315,-0.06624987368900524,0.04907569652199983,-0.01458270276395313,0.03824693228428847,-0.03867249354377046,-0.006431479922982519,-0.040671209224540816,0.016679522809613424,0.02705221519271889,-0.020929949761305168,0.026641607910837486,-0.007387721239404262,0.01458193707131741,-0.025826270538571134,0.06655769214183622,-0.019933728545891996
NRAS,-0.004600616910001278,0.013386061612854392,0.009705884852555887,0.010490062834536601,-0.01989336335476037,-0.008270090358010513,-0.0037573610794772775,0.0296335722380072,0.03527040065137326,-0.05689102232110237,-0.005343767629796869,-0.047925629647788036,0.04737925519865429,-0.04852804782371674,0.0027623640691567344,-0.038189266930272935,0.01681709790589995,-0.020730021662969608,0.028647578798407847,0.08268906245595525,0.043254224770647956,-0.04274381814772594,0.0010441165097456466,0.016911815752525598,-0.03850729464457239,-0.00824783041466529,-0.018143888503007237,0.014866944435868125,-0.024839329485629662
KMT2A,0.006135942318410661,0.045631571646620704,-0.08903109790831569,0.06299882955283971,-0.012336644778054882,0.0002669381258289694,0.05340300128245892,0.025591398296723605,0.010480016663305943,0.007648618656690492,0.035977276803216836,0.007341315224216523,-0.07949719549950829,-0.04809951886538132,-0.01082471576959411,-0.031847825099019296,-0.02793714357859199,0.08148575843242636,0.00928729332809075,-0.05461932101974505,0.007860186581302003,-0.07181032470073935,-0.02518702482111508,0.004212955169825629,0.06062662944054432,0.036842105371968886,-0.046579510702186126,0.009214915014592626,0.013152609665267484
BCL2,0.00011454536687771676,0.06809311667917226,-0.040517175850566974,0.06927167792450109,-0.03925355472441006,0.024614723294632334,0.09529367715141122,0.022872401500796134,0.002708271132527521,0.0668496287020291,0.004576078242536704,-0.05336414802422049,-0.02337323195012362,-0.02245496622487943,0.10880304756021136,-0.006830789481942624,-0.09215408397049789,-0.02538059886203722,0.05915066288877567,0.03863908896217715,-0.08784901463970783,-0.03465573562985441,-0.031292001441517746,-0.08589182182406797,0.05085382792222565,0.16565619197556866,0.06580660125532525,-0.04286977566354999,0.00956306613712133
IDH2,0.005434217055921502,0.012839841363753107,-0.07313251267014606,0.06168979746731764,0.01446312566391744,0.028495628957271132,-0.002379888758710189,0.03699927011073373,0.0037146974605334125,-0.05144656867615232,-0.07406804660041574,0.0228790839930839,-0.0508337947018298,0.008384793732393404,-0.03667948777986086,-0.057116801225420795,-0.011034248967491169,-0.0043949708546981445,-0.020072006476824493,0.014863328144604757,-0.004002129147319885,0.018196175988942433,0.006038363096811711,0.011753667189771732,0.011577382414347555,0.02124320931863305,0.005503028759135222,0.043199181385487236,-0.031753367592175716
EZH2,-0.08486144398018367,-0.014928800879377632,0.10788911926911311,0.01858550020723616,-0.11820372152771613,0.03143316602886103,0.0038205135255086524,0.022878022946473994,-0.06611840776748958,0.006904502349256117,0.003121338682842033,0.009160056660801998,-0.12461068534096198,-0.14882385455251976,0.07226867432836702,0.039514910774038445,-0.013365951617196788,-0.033290219216668526,0.05596605348651014,0.05685023477761996,0.02858959350862986,0.01308641726591289,0.038134172008612154,-0.06293481786338755,0.06377830465329862,-0.021978160918149595,0.11232038743735151,0.08845327053083381,0.04412643869156352
ZRSR2,0.027687390668237142,-0.05197659875588019,-0.043359278718934254,0.07370593204086177,0.016003507803552967,0.01577725879105093,0.043673725758871206,-0.017325040236316116,0.035686795950602486,-0.04862828982393821,0.0030798202914404517,-0.0025340224787513753,0.018570096165198145,0.033239234504932255,-0.020192060282117792,-0.007330495252582008,-0.06381660055565928,0.03765066077400899,-0.005350364846862862,-0.03076573505315193,0.03748494695207492,0.00531776208758697,0.01984825299803146,-0.010244293356510555,-0.031936221962189815,0.004383943569354649,-0.06617599843094905,-0.043012190729647376,-0.020456063354951176
RAD21,-0.04056126044130243,0.023718108286124022,-0.007225261573134359,-0.01214813446334683,0.005563152378456675,-0.03811282690977551,0.002105433990757878,-0.021718860282324785,0.029252757734072748,-0.03346154569677843,0.030346021580254724,0.003341417368204903,-0.003154171239884017,0.028676390782053522,0.025190341075765014,-0.03535492567399094,0.0924640236911571,0.0019400533089559853,0.06441924246151459,0.005706286293512144,0.07192828150469575,-0.029623198377838948,0.016444004718285696,-0.05615483303439448,0.05582906307374278,-0.009406790082962267,-0.028098370834863804,-0.05529222905522849,-0.02561562866813972
