case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,tree_build_sec,labels_length
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,400,80,4,4,0.9013024743707592,0.8694773419476969,0.9626748952282438,0.9625,0.06326446337318171,19.257735534851406,3.4124443045316086,0.0,0.0,0.0,3.995327042392855,0.2675,0.0015504170442000031,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,400,80,4,4,0.8747153250696795,0.8574637818118199,0.9532810219102311,0.9525,0.0610138153692226,18.753450662458192,3.528132396969575,0.0,0.0,0.0,3.985066517222882,0.2875,0.0015840409905649722,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,400,80,4,4,0.9217285793957946,0.8940670956081295,0.9699442530486204,0.97,0.06373513702740377,19.371557405875674,3.3731905790033703,0.0,0.0,0.0,3.9986939275435387,0.2575,0.002198625006712973,400
overlap_mod_4c_small,3,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,400,80,4,3,0.6575486348144913,0.7658787339890647,0.6513037284942171,0.7325,0.053781803829603486,19.50920224069882,3.684410115121292,1.0,0.0,1.0,2.8178599858058613,0.505,11.246039499994367,400
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls,ok,,160,24,4,9,0.4035201678286685,0.5758548657517188,0.8454478364173086,0.84375,0.06291057709358236,7.363937430219698,2.7234920993231015,5.0,1.0,0.0,8.26823113800074,0.175,0.0008359170169569552,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,160,24,4,13,0.3366309128790802,0.5615692037653611,0.8686427632727707,0.86875,0.049788772211815345,5.869329467923124,2.73083741359343,9.0,1.0,0.0,11.95830177173187,0.1375,0.0008045420399866998,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,160,24,4,6,0.6012143800799671,0.6554185204447212,0.8652732974910394,0.8625,0.06829935733649695,9.021548402089762,2.723949095811497,2.0,1.0,0.0,5.555649013182259,0.25,0.0008013749611563981,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,160,24,4,1,0.0,0.0,0.1,0.25,,,,3.0,0.0,1.0,1.0,1.0,0.0007872909773141146,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,160,24,4,10,0.5599158708179279,0.6558894365142478,0.8925073856910264,0.89375,0.05114834308871754,6.679778515006094,2.443467298203985,6.0,1.0,0.0,8.255551859037928,0.20625,0.0007183339912444353,160
dim_consolidated_4c_24f,4,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,160,24,4,4,0.4412991876391408,0.590995004638288,0.7746415770609318,0.7625,0.05744866050945807,9.54884758398097,3.0583469383183974,0.0,0.0,0.0,3.5723763234353267,0.4625,0.0006547080120071769,160
